,Unnamed: 0,Venue Id,Like Count,Users
144,144,4f3273a519836c91c7d9284a,0,
145,145,439b6598f964a520e12b1fe3,365,"368289,1968580,32545461"
146,146,3fd66200f964a52024ee1ee3,189,"497372684,35289418,83888680"
147,147,4af1eff3f964a52088e421e3,22,"963716,34360275,13987360"
148,148,4bc3a2f974a9a5931edad4f6,250,"27331974,150092796,128153366"
149,149,5288394411d2aa92d03da463,0,
150,150,50f1ef00e4b0e2cb86ae453f,34,"207390,485159688,148954178"
151,151,5b7d8bde06fb60002cbc0b17,55,"22567166,11247297,2462192"
152,152,5a80ea27c58ed77c7cbcd80c,58,"2444805,414597657,89160443"
153,153,569d3eb4498e051e26ae85b1,58,"196956,358782548,208830785"
154,154,558f6749498ee19e0ca67e24,40,"63022,415405663,5323544"
155,155,572fa3c5498ec2eb89e95319,37,"125915292,10059"
156,156,44646408f964a52026331fe3,1610,"8952277,86484225,10039298"
157,157,4f45024119836ed0019817f6,0,
158,158,55876ba3498e08016ede6a73,100,"96274621,92846982,78072"
159,159,50be8ac5f31c223ae77cdeb7,322,"29245643,1327493,6711873"
160,160,4f244fe3e4b0a93fbec920fc,2,467035952
161,161,4ae217faf964a520a58a21e3,6,"369777631,148325559,3219857"
162,162,4a95955af964a520c52320e3,24,"2178362,6173618,55603"
163,163,555cd4e6498e52b9e7bfd9d5,40,"3054419,85507091,27420"
164,164,4f328f1919836c91c7e39c07,0,
165,165,4a5f8994f964a520d5bf1fe3,1141,"9628989,132520846,7096533"
166,166,49c47c87f964a520c6561fe3,1,68944
167,167,58e02934dfa6ff63a9cb9daf,0,
168,168,55078d2c498e3349e065926f,100,"451,163911438"
169,169,4c0095c6379020a128d1467f,357,"2136149,73097697,1625023"
170,170,43dc103ef964a520992e1fe3,661,"488181394,13065375,11111871"
171,171,4f326d6e19836c91c7d6cc1b,0,
172,172,4e4cc842bd413c4cc66c1ff3,0,
173,173,4e233347ae6015b212b7dd6e,162,"10059,12938459,75325217"
174,174,52be6eb6498eb3256dfffb97,0,
175,175,4e4d0360bd413c4cc66dfc61,0,
176,176,4f321f2a19836c91c7b82357,0,
177,177,580307d238fa2724ad76e74a,0,
178,178,4a2937f2f964a52068951fe3,658,"73692527,67839792,210454598"
179,179,4b130e19f964a520709323e3,3,"95499512,20760969,5960256"
180,180,5907aa1c178a2a76066e0f59,290,"11794743,23829027,513614552"
181,181,4f3239ba19836c91c7c28816,0,
182,182,51eb348d498efde2657abad0,60,"15272514,1245147,333789"
183,183,4d8954f56daeb60c5abd4de0,0,
184,184,5b0dfa8c112c6c002cfcbac0,1,1350791
185,185,454f45eef964a520d43c1fe3,110,"148642865,26414,1941824"
186,186,4c7a9b2ea8683704cd1f144d,0,
